"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"yhbE",-1.5647931196989,7.96159233846204,48.3345333306237,4.8187857912457e-06,8.77488106493761e-05,"SL1344_3274","yhbE"
"fmu",-0.906660521353983,6.77089868330612,48.187065674833,4.90482293978109e-06,8.83427614667035e-05,"SL1344_3375","fmu"
"yidH",1.01394772170143,5.14916540406847,48.1881526737213,4.9041824064481e-06,8.83427614667035e-05,"SL1344_3773","yidH"
"purF",-0.843123158990154,7.12169078769881,47.9792930181162,5.02901866403245e-06,9.02365962557641e-05,"SL1344_2331","purF"
"yhdG",-1.23248259267121,10.9334418401191,47.8398790132098,5.11435372068769e-06,9.14214851882927e-05,"SL1344_3357","yhdG"
"sufB",3.83577599591053,9.60675846732116,51.623071479012,5.16105584817043e-06,9.19094795217419e-05,"SL1344_1304","sufB"
"yobF",1.28893732238676,8.91031052056355,47.652217129157,5.23182843174274e-06,9.2820866221593e-05,"SL1344_1767","yobF"
"SL1344_2751",1.51127370506176,4.42028437324051,47.6183784444841,5.25333546145712e-06,9.28546644810537e-05,"SL1344_2751","SL1344_2751"
"entA",3.61254201157671,8.18384602507521,51.398222213264,5.28688544629004e-06,9.31002838627357e-05,"SL1344_0586","entA"
"SL1344_1761",0.828472989135599,5.91105234773938,47.4870677522852,5.33774871859177e-06,9.36478358517378e-05,"SL1344_1761","SL1344_1761"
"marB",1.51652667946624,5.33238984239027,47.2256723155016,5.5104103663741e-06,9.63203465148122e-05,"SL1344_1448","marB"
"gpF",1.76871216167639,2.98643360167534,47.1678284501746,5.54946963964145e-06,9.66464620697851e-05,"SL1344_2642","gpF"
"amn",0.990402947406047,7.15830123442052,47.0716848231517,5.6150881669854e-06,9.67224459891267e-05,"SL1344_1986","amn"
"ytfL",-0.810336171409095,7.61531660604975,47.1140177490381,5.58608782760356e-06,9.67224459891267e-05,"SL1344_4340","ytfL"
"treR",-1.12370253420007,3.65009616908236,47.0993918416452,5.59608810130745e-06,9.67224459891267e-05,"SL1344_4386","treR"
"ydjN",-1.19364489871286,7.39045489575564,46.9463888430178,5.70192898788457e-06,9.77564037876061e-05,"SL1344_1255","ydjN"
"ydgC",-1.80656945244106,3.90571945053374,46.9237875303611,5.71775537072842e-06,9.77564037876061e-05,"SL1344_1406","ydgC"
"pgtE",1.18418343304228,4.62478292649257,46.8963668007493,5.73702348595198e-06,9.77564037876061e-05,"SL1344_2363","pgtE"
"nixA",1.78043845057712,5.45678919972314,46.6745939270424,5.89559677601668e-06,0.000100098358164842,"SL1344_2767","nixA"
"allA",1.02269838503766,4.29671099848598,46.4550092385708,6.05752415486727e-06,0.000101393964387301,"SL1344_0508","allA"
"sitD",5.19791936560108,8.02976191325276,50.1635347717172,6.04379257114943e-06,0.000101393964387301,"SL1344_2844","sitD"
"yraP",1.41194659071359,7.78626933701156,46.5171231346867,6.01121347537446e-06,0.000101393964387301,"SL1344_3240","yraP"
"uspB",1.27585718908177,5.96551648028627,46.480341515097,6.03858827559516e-06,0.000101393964387301,"SL1344_3555","uspB"
