"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"malZ",-0.02344786775528,5.01951494652221,0.0134072258323702,0.909366102127071,0.999975873731661,"SL1344_0396","malZ"
"yajB",0.284536790216574,6.45982569762137,0.17360366511471,0.6833566275903,0.999975873731661,"SL1344_0398","yajB"
"queA",0.0892195607722489,7.76960253537601,0.250969747726098,0.623715582107128,0.999975873731661,"SL1344_0399","queA"
"tgt",0.0885394872867751,9.63146056676514,0.622651086053877,0.44244481265254,0.999975873731661,"SL1344_0400","tgt"
"yajC",0.0442846682032773,9.40389388031874,0.169298219946243,0.686596258757676,0.999975873731661,"SL1344_0401","yajC"
"secD",0.084605864423879,10.2240025402501,0.180874257101227,0.676704096122023,0.999975873731661,"SL1344_0402","secD"
"secF",0.00464916045328042,8.82351465838779,0.00189856327444543,0.965823982812026,0.999975873731661,"SL1344_0403","secF"
"SL1344_0404",0.135802645941213,4.47156142055879,1.05973911013921,0.319703725012585,0.999975873731661,"SL1344_0404","SL1344_0404"
"SL1344_0405",-0.270845823592281,3.98718053395528,2.26619713238878,0.153135560828686,0.999975873731661,"SL1344_0405","SL1344_0405"
"yajD",0.0759408512301442,6.46612742986724,0.312302925384058,0.584575858825638,0.999975873731661,"SL1344_0406","yajD"
"tsx",-0.0819180816542021,6.45498596954948,0.276881462140477,0.606500202449979,0.999975873731661,"SL1344_0407","tsx"
"yajI",0.0389121268150005,4.01028072668579,0.0651324272440215,0.802051168216473,0.999975873731661,"SL1344_0408","yajI"
"nrdR",0.130927842973691,7.41253371979079,1.26282771342703,0.278903948331467,0.999975873731661,"SL1344_0409","nrdR"
"ribD",0.242512799681314,7.95069044297475,1.37309602079818,0.259685470616429,0.999975873731661,"SL1344_0410","ribD"
"ribH",-0.0266751626842757,9.21437390809244,0.024777822626838,0.877036128671948,0.999975873731661,"SL1344_0411","ribH"
"nusB",0.0195904006816708,8.30125654189086,0.0276974344666082,0.870060470815421,0.999975873731661,"SL1344_0412","nusB"
"thiL",-0.0563395826728888,7.54799554725611,0.10650151618422,0.748703573002281,0.999975873731661,"SL1344_0413","thiL"
"pgpA",-0.0737544720418498,5.73139007343437,0.33754047387716,0.569940488889374,0.999975873731661,"SL1344_0414","pgpA"
"yajO",0.0204283570562063,4.78132873329656,0.0128167290889728,0.911375193431963,0.999975873731661,"SL1344_0415","yajO"
"dxs",0.0978109173335241,8.18265265500822,0.340984263608396,0.568001113690346,0.999975873731661,"SL1344_0416","dxs"
"ispA",0.0757326050907688,7.55141324368906,0.144202147365735,0.70949884659303,0.999975873731661,"SL1344_0417","ispA"
"xseB",-0.0604219934398734,6.31094983110935,0.0677801317273505,0.798161754261785,0.999975873731661,"SL1344_0418","xseB"
"thiI",-0.0790865390303285,8.01749621133713,0.422687081995036,0.525501619852511,0.999975873731661,"SL1344_0419","thiI"
"phnV",-0.220469193523722,3.73726121142187,0.952231101133026,0.344736548222908,0.999975873731661,"SL1344_0420","phnV"
"phnU",-0.0690738878912232,1.7656586196057,0.0458678259370581,0.833320781984387,0.999975873731661,"SL1344_0421","phnU"
"phnT",-0.0852906109217386,2.64623878559524,0.157903561467563,0.696730801018722,0.999975873731661,"SL1344_0422","phnT"
"phnS",-0.19573898711322,2.94771257140267,1.02117218199652,0.328377634753963,0.999975873731661,"SL1344_0423","phnS"
"phnR",-0.0023634953818124,4.09022018227834,7.51356880385006e-05,0.993198998572677,0.999975873731661,"SL1344_0424","phnR"
