"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"ypfG",1.95680931046451,4.10773719641582,165.824802701145,1.78737046846777e-09,1.72791304267997e-07,"SL1344_2439","ypfG"
"osmB",2.33729871615352,5.07227957469246,164.446124184694,1.892834953682e-09,1.79285299088061e-07,"SL1344_1637","osmB"
"SL1344_1794",4.63181912694034,3.66762677911512,163.061260880769,2.00593642635998e-09,1.79285299088061e-07,"SL1344_1794","SL1344_1794"
"gmd",1.87584085225276,3.82031036069602,163.331353025352,1.98328924457346e-09,1.79285299088061e-07,"SL1344_2086","gmd"
"yiaD",4.57481126777525,8.09052404227856,170.092872145167,1.9458567120004e-09,1.79285299088061e-07,"SL1344_3611","yiaD"
"ydiR",1.92329294334802,4.96239206127259,162.409377637094,2.06181531337488e-09,1.79904814279323e-07,"SL1344_1287","ydiR"
"SL1344_1795",4.09024348004333,4.95297218207249,162.101427111028,2.08882516051568e-09,1.79904814279323e-07,"SL1344_1795","SL1344_1795"
"SL1344_1469",2.40305465924087,5.1534164820331,155.391075496342,2.78989601146845e-09,2.3599531082725e-07,"SL1344_1469","SL1344_1469"
"SL1344_1783",2.43662624272995,5.01520822569583,154.573380936463,2.89229798712348e-09,2.40365185350946e-07,"SL1344_1783","SL1344_1783"
"yceI",1.9311196366438,6.1641625496674,153.465813785799,3.03787134366724e-09,2.48110285430202e-07,"SL1344_1094","yceI"
"yihX",1.87620375048084,8.11007467759855,151.521321995439,3.31401565660743e-09,2.66076138395752e-07,"SL1344_3972","yihX"
"ycfJ",2.42824611217846,4.63400610563441,150.792816671421,3.42472192299385e-09,2.70381795820364e-07,"SL1344_1149","ycfJ"
"yfiO",1.48792734783653,8.77893788253468,150.140555659556,3.52741202463606e-09,2.73923782962312e-07,"SL1344_2623","yfiO"
"rlgA",1.45817957294795,8.99070889592296,148.213740802012,3.85176243845406e-09,2.94287075338014e-07,"SL1344_P1_0062","rlgA"
"ribB",-1.82217628133499,5.63322795576566,147.563389850387,3.96877712407751e-09,2.98414241853256e-07,"SL1344_3168","ribB"
"aroQ",2.93603910092099,5.43955137545115,147.088937966761,4.05668863700858e-09,3.00258344898588e-07,"SL1344_1204","aroQ"
"ybjZ",1.264687166483,7.48384109268325,145.143063703754,4.44110620172524e-09,3.23654155039576e-07,"SL1344_0881","ybjZ"
"SL1344_1602",2.69668977384124,8.1166407282276,143.990030760893,4.68832500990704e-09,3.31471575700442e-07,"SL1344_1602","SL1344_1602"
"pagO",4.36463597010725,5.67553905862438,144.373343415309,4.63808111608509e-09,3.31471575700442e-07,"SL1344_1793","pagO"
"pagK",3.589731415324,5.68965253147026,143.084826826124,4.8933725389013e-09,3.40880966423169e-07,"SL1344_1799","pagK"
"kdpF",2.5470856602034,4.32757307434003,140.841428144032,5.4468839965705e-09,3.72359447135461e-07,"SL1344_0688A","kdpF"
"SL1344_P1_0064",1.51091378372589,6.90673459695724,140.630572150131,5.50246174783244e-09,3.72359447135461e-07,"SL1344_P1_0064","SL1344_P1_0064"
"ygaC",2.62436560911799,4.39320251350714,139.486757050634,5.81539292004733e-09,3.87993186792453e-07,"SL1344_2785","ygaC"
"udg",2.81648800056356,6.90320526721277,138.533629334795,6.09163134054622e-09,4.00778578613437e-07,"SL1344_2057","udg"
"phoP",1.45888894033792,9.96225572874715,132.304908618282,8.31059259173295e-09,5.22936286827027e-07,"SL1344_1169","phoP"
